,feature,VIF
0,policy_tenure,1.1354054915607017
1,age_of_car,1.309163913024469
2,age_of_policyholder,1.046724411628379
3,population_density,inf
4,make,inf
5,airbags,inf
6,is_esc,inf
7,is_adjustable_steering,inf
8,is_tpms,inf
9,is_parking_sensors,inf
10,is_parking_camera,inf
11,displacement,inf
12,cylinder,inf
13,gear_box,inf
14,turning_radius,inf
15,length,inf
16,width,inf
17,height,inf
18,gross_weight,inf
19,is_front_fog_lights,inf
20,is_rear_window_wiper,inf
21,is_rear_window_washer,inf
22,is_rear_window_defogger,inf
23,is_brake_assist,inf
24,is_power_door_locks,inf
25,is_central_locking,inf
26,is_power_steering,inf
27,is_driver_seat_height_adjustable,inf
28,is_day_night_rear_view_mirror,inf
29,is_ecw,inf
30,is_speed_alert,inf
31,ncap_rating,inf
32,MaxTorque,1.009541737024583
33,MaxTorque_RPM,inf
34,MaxPower,inf
35,MaxPower_RPM,inf
36,area_cluster_C10,inf
37,area_cluster_C11,inf
38,area_cluster_C12,inf
39,area_cluster_C13,inf
40,area_cluster_C14,inf
41,area_cluster_C15,inf
42,area_cluster_C16,inf
43,area_cluster_C17,inf
44,area_cluster_C18,inf
45,area_cluster_C19,inf
46,area_cluster_C2,inf
47,area_cluster_C20,inf
48,area_cluster_C21,inf
49,area_cluster_C22,inf
50,area_cluster_C3,inf
51,area_cluster_C4,inf
52,area_cluster_C5,inf
53,area_cluster_C6,inf
54,area_cluster_C7,inf
55,area_cluster_C8,inf
56,area_cluster_C9,inf
57,segment_B1,inf
58,segment_B2,inf
59,segment_C1,inf
60,segment_C2,inf
61,segment_Utility,inf
62,model_M10,inf
63,model_M11,inf
64,model_M2,inf
65,model_M3,inf
66,model_M4,inf
67,model_M5,inf
68,model_M6,inf
69,model_M7,inf
70,model_M8,inf
71,model_M9,inf
72,fuel_type_Diesel,inf
73,fuel_type_Petrol,inf
74,engine_type_1.2 L K Series Engine,inf
75,engine_type_1.2 L K12N Dualjet,inf
76,engine_type_1.5 L U2 CRDi,inf
77,engine_type_1.5 Turbocharged Revotorq,inf
78,engine_type_1.5 Turbocharged Revotron,inf
79,engine_type_F8D Petrol Engine,inf
80,engine_type_G12B,inf
81,engine_type_K Series Dual jet,inf
82,engine_type_K10C,inf
83,engine_type_i-DTEC,inf
84,rear_brakes_type_Drum,inf
85,transmission_type_Manual,inf
86,steering_type_Manual,inf
87,steering_type_Power,inf
